101,Alan D. Purwin,2000
102,Alan Rickman,25000
103,Brad Garrett,799
104,CCH Pounder,1000
105,Chris Hemsworth,26000
106,Christian Bale,23000
107,Christoph Waltz,11000
108,Christopher Meloni,3000
109,Daniel Radcliffe,11000
110,Daryl Sabara,640
111,Donna Murphy,553
112,Frank Langella,903
113,Giancarlo Giannini,451
114,Harry Lennix,748
115,Henry Cavill,15000
116,J.K. Simmons,24000
117,Jack Davenport,1000
118,James Franco,11000
119,Joel David Moore,936
120,Johnny Depp,40000
121,Joseph Gordon-Levitt,23000
122,Kevin Spacey,18000
123,Kirsten Dunst,4000
124,Lauren Cohan,4000
125,M.C. Gainey,284
126,Marlon Brando,10000
127,Mathieu Amalric,412
128,Orlando Bloom,5000
129,Peter Dinklage,22000
130,Pierfrancesco Favino,216
131,Polly Walker,530
132,Robert Downey Jr.,21000
133,Rory Kinnear,393
134,Rupert Grint,10000
135,Ruth Wilson,2000
136,Sam Claflin,11000
137,Samantha Morton,632
138,Scarlett Johansson,19000
139,Stephanie Sigman,161
140,Stephen Graham,1000
141,Tom Hardy,27000
142,Tom Wilkinson,1000
143,Wes Studi,855
